arrival_time,start_time,finish_time,wait_time,queue_length
30-03-2023 5.34,25-04-2024 12.49,2024-04-25 12:59:41,13.25,40.0
2023/12/19 04:10:31,25-08-2023 14.12,2023-08-25 14:22:12,27.59,51.0
17-07-2023 14.55,17-07-2023 15.29,2023-07-17 15:38:03,33.91,32.0
11-07-2023 13.36,11-07-2023 13.59,2023-07-11 14:08:47,23.22,17.0
05-06-2024 10.33,05-06-2024 10.59,2024-06-05 11:08:29,26.68,37.0
09-08-2024 11.28,09-08-2024 11.49,2024-08-09 11:56:54,21.64,32.0
01-05-2023 10.16,01-05-2023 10.25,2023-05-01 10:33:34,9.44,32.0
14-09-2023 09.49,14-09-2023 10.08,2023-09-14 10:14:40,19.96,18.0
07-10-2024 15.25,07-10-2024 15.44,2024-10-07 15:45:00,18.67,38.0
24-11-2023 14.13,24-11-2023 14.29,2023-11-24 14:35:50,16.99,45.0
18-07-2023 14.47,18-07-2023 15.10,2023-07-18 15:22:46,23.7,23.0
06-01-2024 13.00,06-01-2024 13.01,2024-01-06 13:02:00,1.0,40.0
20-06-2023 10.03,20-06-2023 10.21,2023-06-20 10:31:03,18.44,32.0
08-11-2023 09.42,08-11-2023 09.56,2023-11-08 10:10:55,14.91,16.0
28-11-2023 15.07,28-11-2023 15.29,2023-11-28 15:39:39,22.04,33.0
31-10-2023 14.08,31-10-2023 14.15,2023-10-31 14:24:05,7.62,17.0
09-08-2024 12.17,09-08-2024 12.45,2024-08-09 12:57:40,28.63,23.0
2023/08/28 11:59:00,28-08-2023 12.10,2023-08-28 12:20:20,11.58,29.0
2023/11/06 10:57:00,06-11-2023 11.18,2023-11-06 11:27:23,21.98,40.0
21-10-2023 09.25,21-10-2023 09.46,2023-10-21 09:55:52,21.37,26.0
09-12-2023 13.00,09-12-2023 13.01,2023-12-09 13:02:00,1.0,17.0
12-11-2024 10.10,12-11-2024 10.40,2024-11-12 10:53:02,29.3,40.0
06-06-2024 12.20,06-06-2024 12.24,2024-06-06 12:31:05,4.79,40.0
2024/09/16 15:45:00,16-09-2024 15.46,2024-09-16 15:47:00,1.0,43.0
05-08-2023 13.00,05-08-2023 13.01,2023-08-05 13:02:00,1.0,75.0
18-08-2023 15.45,18-08-2023 15.46,2023-08-18 15:47:00,1.0,25.0
15-07-2024 10.09,15-07-2024 10.18,2024-07-15 10:26:02,9.93,24.0
2023/02/14 12:31:00,14-02-2023 12.37,2023-02-14 12:46:59,6.77,40.0
10-05-2023 09.16,10-05-2023 09.33,2023-05-10 09:45:03,17.25,26.0
24-01-2023 10.24,24-01-2023 10.55,2023-01-24 11:11:38,31.02,36.0
27-03-2024 13.01,27-03-2024 13.22,2024-03-27 13:33:22,21.27,19.0
27-06-2023 10.47,27-06-2023 11.19,2023-06-27 11:33:28,32.39,32.0
23-06-2023 12.50,23-06-2023 13.07,2023-06-23 13:14:43,17.26,43.0
